,Organisation,PageLink
0,Adhya Educational Society,/wiki/Adhya_Educational_Society
1,Aeronautical Society of India,/wiki/Aeronautical_Society_of_India
2,Ahmedabad Education Society,/wiki/Ahmedabad_Education_Society
3,Akancha Srivastava Foundation,/wiki/Akancha_Srivastava_Foundation
4,All India Federation of Tax Practitioners,/wiki/All_India_Federation_of_Tax_Practitioners
5,All India Management Association,/wiki/All_India_Management_Association
6,Amalthea (Technical Summit),/wiki/Amalthea_(Technical_Summit)
7,Animal Aid Unlimited,/wiki/Animal_Aid_Unlimited
8,Apnalaya,/wiki/Apnalaya
9,Association for Democratic Reforms,/wiki/Association_for_Democratic_Reforms
10,Association for Social and Environmental Development,/wiki/Association_for_Social_and_Environmental_Development
11,Audit Bureau of Circulations (India),/wiki/Audit_Bureau_of_Circulations_(India)
12,Bal Bharati Public School,/wiki/Bal_Bharati_Public_School
13,Balala Hakkula Sangham,/wiki/Balala_Hakkula_Sangham
14,Bangalore Astronomical Society,/wiki/Bangalore_Astronomical_Society
15,Bell Bajao,/wiki/Bell_Bajao
16,Bharatiya Bhasha Parishad,/wiki/Bharatiya_Bhasha_Parishad
17,Bharatiya Jain Sanghatana,/wiki/Bharatiya_Jain_Sanghatana
18,Bharatiya Jnanpith,/wiki/Bharatiya_Jnanpith
19,BHUMI (organisation),/wiki/BHUMI_(organisation)
20,Books on the Delhi Metro,/wiki/Books_on_the_Delhi_Metro
21,Broadcast Audience Research Council,/wiki/Broadcast_Audience_Research_Council
22,The C. P. Ramaswami Aiyar Foundation,/wiki/The_C._P._Ramaswami_Aiyar_Foundation
23,Cellular Operators Association of India,/wiki/Cellular_Operators_Association_of_India
24,Centre for Internet and Society (India),/wiki/Centre_for_Internet_and_Society_(India)
25,Centre for Science and Environment,/wiki/Centre_for_Science_and_Environment
26,Centre for Social Research,/wiki/Centre_for_Social_Research
27,Comprehensive Rural Health Project,/wiki/Comprehensive_Rural_Health_Project
28,Confederation of Indian Industry,/wiki/Confederation_of_Indian_Industry
29,CUTS International,/wiki/CUTS_International
30,Data Security Council of India,/wiki/Data_Security_Council_of_India
31,Delhi Greens,/wiki/Delhi_Greens
32,Delhi Public School Society,/wiki/Delhi_Public_School_Society
33,Digital Film Makers Forum,/wiki/Digital_Film_Makers_Forum
34,Empowering the Vision Project,/wiki/Empowering_the_Vision_Project
35,Environmentalist Foundation of India,/wiki/Environmentalist_Foundation_of_India
36,Equitable Tourism Options,/wiki/Equitable_Tourism_Options
37,Federation of Indian Chambers of Commerce &amp; Industry,/wiki/Federation_of_Indian_Chambers_of_Commerce_%26_Industry
38,Foundation for Democratic Reforms,/wiki/Foundation_for_Democratic_Reforms
39,Foundation for Ecological Security,/wiki/Foundation_for_Ecological_Security
40,Foundation for Universal Responsibility of His Holiness the Dalai Lama,/wiki/Foundation_for_Universal_Responsibility_of_His_Holiness_the_Dalai_Lama
